header,symbol,price,price_change,price_percent_change
0,IBO,4.96,2.88,138.46
1,ALUR,3.58,1.3,57.02
2,GLTO,6.1,1.96,47.34
3,LSB,2.77,0.72,35.12
4,CLIK,2.76,0.71,34.63
5,AMPX,3.11,0.8,34.63
6,LAZR,8.35,2.07,32.96
7,OUST,11.05,2.67,31.86
8,FLD,8.42,2.0,31.15
9,RGC,58.63,13.63,30.29
10,TNXP,23.03,4.84,26.61
11,HUHU,5.96,1.22,25.74
12,CRVO,14.29,2.73,23.62
13,BGM,10.99,2.05,22.93
14,PHH,13.48,2.45,22.21
15,ZYBT,4.88,0.85,21.09
16,ONEG,2.94,0.49,20.0
17,GRI,8.27,1.27,18.14
18,SNWV,37.61,5.61,17.53
19,AUID,7.38,1.1,17.52
20,NAYA,2.74,0.4,17.09
21,VERO,3.1,0.42,15.89
22,NTRP,5.24,0.69,15.16
23,JUNE,8.87,1.15,14.84
24,TTNP,4.19,0.54,14.8
25,TRVG,5.4,0.68,14.41
26,CHCI,7.74,0.96,14.16
27,KUKE,2.85,0.35,14.0
28,BKKT,11.93,1.41,13.4
29,CLEU,2.58,0.3,13.16
30,SCHL,21.22,2.42,12.87
31,ZSPC,11.38,1.28,12.67
32,GDC,2.64,0.29,12.34
33,LODE,2.83,0.31,12.3
34,TELO,4.56,0.48,11.76
35,ALNY,283.34,29.8,11.75
36,IHS,5.25,0.55,11.7
37,OABI,2.53,0.26,11.45
38,MWYN,4.45,0.45,11.29
39,INV,8.18,0.82,11.14
40,GTBP,2.5,0.24,10.62
41,UCAR,2.82,0.27,10.59
42,EPWK,5.24,0.5,10.55
43,AGL,4.53,0.43,10.49
44,IE,6.98,0.65,10.27
45,NUKK,17.58,1.56,9.74
46,WOLF,6.29,0.55,9.58
47,NVCT,10.2,0.85,9.09
48,MASK,4.1,0.34,9.04
49,WKEY,4.63,0.38,8.94
50,GRAL,30.29,2.48,8.92
51,MASS,4.53,0.37,8.89
52,TBH,6.29,0.51,8.82
53,KRRO,23.76,1.86,8.49
54,EP,6.2,0.48,8.39
55,ADPT,8.4,0.65,8.39
56,FBRX,8.17,0.63,8.36
57,ZH,4.83,0.36,8.05
58,AIXI,4.18,0.31,8.01
59,AARD,9.91,0.73,7.95
60,SMTK,3.26,0.24,7.95
61,SSP,3.26,0.24,7.95
62,WGS,104.39,7.68,7.94
63,NFE,11.17,0.82,7.92
64,XYF,13.6,0.99,7.85
65,International,33.8,2.45,7.81
66,SMCI,42.15,3.05,7.8
67,ICU,2.22,0.16,7.77
68,ELTX,8.75,0.63,7.76
69,JYD,5.0,0.36,7.76
70,CNNE,18.74,1.29,7.39
71,WKSP,3.64,0.25,7.37
72,CATO,3.5,0.24,7.36
73,XERS,5.81,0.38,7.0
74,BALY,18.25,1.18,6.91
75,KBSX,3.1,0.2,6.9
76,TEM,51.35,3.31,6.89
77,RDHL,2.99,0.19,6.79
78,PTON,6.96,0.44,6.75
79,ICAD,2.23,0.14,6.7
80,TERN,3.35,0.21,6.69
81,W,33.66,2.11,6.69
82,PLCE,8.8,0.55,6.67
83,IDN,2.72,0.17,6.67
84,RIVN,11.6,0.72,6.62
85,RFIL,4.97,0.3,6.54
86,UMAC,7.34,0.45,6.53
87,CDLX,2.48,0.15,6.44
88,RDDT,115.7,6.95,6.39
89,KFS,7.88,0.47,6.34
90,GRRR,25.15,1.48,6.25
91,PRCH,6.8,0.4,6.25
92,ENVX,8.45,0.49,6.16
93,LCID,2.42,0.14,6.14
94,SDA,4.69,0.27,6.11
95,ROKU,78.29,4.47,6.06
96,TSE,4.27,0.24,5.96
97,EVC,2.16,0.12,5.88
98,LPRO,3.26,0.18,5.85
99,CTEV,21.06,1.16,5.83
